overlap_analyzed,scientific_name,TP,FP,FN,precision,sensitivity,f1_score,accuracy,total_detections,total_manual,false_positive_rate,false_negative_rate
0.5,phylloscopus collybita,138,280,116,0.33014354066985646,0.5433070866141733,0.41071428571428575,0.25842696629213485,418,254,0.6698564593301436,0.4566929133858268
0.5,phylloscopus trochilus,4,61,13,0.06153846153846154,0.23529411764705882,0.0975609756097561,0.05128205128205128,65,17,0.9384615384615385,0.7647058823529411
0.5,pica pica,10,38,5,0.20833333333333334,0.6666666666666666,0.3174603174603175,0.18867924528301888,48,15,0.7916666666666666,0.3333333333333333
0.5,poecile montanus,5,24,12,0.1724137931034483,0.29411764705882354,0.2173913043478261,0.12195121951219512,29,17,0.8275862068965517,0.7058823529411765
0.5,poecile palustris,1,25,0,0.038461538461538464,1,0.07407407407407407,0.038461538461538464,26,1,0.9615384615384616,0
0.5,porzana porzana,2,1900,0,0.0010515247108307045,1,0.0021008403361344537,0.0010515247108307045,1902,2,0.9989484752891693,0
0.5,prunella modularis,14,164,0,0.07865168539325842,1,0.14583333333333334,0.07865168539325842,178,14,0.9213483146067416,0
0.5,pyrrhula pyrrhula,6,43,17,0.12244897959183673,0.2608695652173913,0.16666666666666666,0.09090909090909091,49,23,0.8775510204081632,0.7391304347826086
0.5,regulus ignicapilla,1,89,1,0.011111111111111112,0.5,0.02173913043478261,0.01098901098901099,90,2,0.9888888888888889,0.5
0.5,regulus regulus,24,202,30,0.10619469026548672,0.4444444444444444,0.17142857142857146,0.09375,226,54,0.8938053097345132,0.5555555555555556
0.5,scolopax rusticola,3,46,0,0.061224489795918366,1,0.11538461538461538,0.061224489795918366,49,3,0.9387755102040817,0
0.5,sitta europaea,5,32,1,0.13513513513513514,0.8333333333333334,0.23255813953488372,0.13157894736842105,37,6,0.8648648648648649,0.16666666666666666
0.5,spinus spinus,6,183,2,0.031746031746031744,0.75,0.06091370558375634,0.031413612565445025,189,8,0.9682539682539683,0.25
0.5,strix aluco,6,84,0,0.06666666666666667,1,0.125,0.06666666666666667,90,6,0.9333333333333333,0
0.5,sylvia atricapilla,4,50,10,0.07407407407407407,0.2857142857142857,0.11764705882352941,0.0625,54,14,0.9259259259259259,0.7142857142857143
0.5,sylvia borin,4,96,2,0.04,0.6666666666666666,0.07547169811320754,0.0392156862745098,100,6,0.96,0.3333333333333333
0.5,tachybaptus ruficollis,1,2,7,0.3333333333333333,0.125,0.18181818181818182,0.1,3,8,0.6666666666666666,0.875
0.5,tringa nebularia,3,26,0,0.10344827586206896,1,0.1875,0.10344827586206896,29,3,0.896551724137931,0
0.5,troglodytes troglodytes,20,102,9,0.16393442622950818,0.6896551724137931,0.26490066225165565,0.15267175572519084,122,29,0.8360655737704918,0.3103448275862069
0.5,turdus merula,119,515,336,0.18769716088328076,0.26153846153846155,0.21854912764003673,0.12268041237113401,634,455,0.8123028391167192,0.7384615384615385
0.5,turdus philomelos,12,73,6,0.1411764705882353,0.6666666666666666,0.23300970873786406,0.13186813186813187,85,18,0.8588235294117647,0.3333333333333333
0.5,turdus viscivorus,28,168,16,0.14285714285714285,0.6363636363636364,0.23333333333333328,0.1320754716981132,196,44,0.8571428571428571,0.36363636363636365
0.5,zapornia pusilla,1,690,0,0.001447178002894356,1,0.002890173410404624,0.001447178002894356,691,1,0.9985528219971056,0
1,accipiter gentilis,1,34,0,0.02857142857142857,1,0.05555555555555556,0.02857142857142857,35,1,0.9714285714285714,0
